,oid,ent,sectionId,EP_1,EP_2
889,1,7,3968,3968,3968
890,1,8,3964,3964,3964
891,1,9,3967,3967,3967
892,1,1,3970,3970,3970
893,1,2,3965,3965,3965
894,1,3,3968,3968,3968
895,1,4,3971,3971,3971
896,1,5,3966,3966,3966
897,1,6,4471,4471,4471
898,1,7,4467,4467,4467
899,1,8,4470,4470,4470
900,1,9,4473,4473,4473
901,1,1,4468,4468,4468
902,1,2,4471,4471,4471
903,1,3,4474,4474,4474
904,1,4,4469,4469,4469
905,1,5,4974,4974,4974
906,1,6,4970,4970,4970
907,1,7,4973,4973,4973
908,1,8,4976,4976,4976
909,1,9,4971,4971,4971
910,1,1,4974,4974,4974
911,1,2,4977,4977,4977
912,1,3,4972,4972,4972
913,1,4,5577,5577,5577
914,1,5,5573,5573,5573
915,1,6,5576,5576,5576
916,1,7,5579,5579,5579
917,1,8,5574,5574,5574
918,1,9,5577,5577,5577
919,1,1,5580,5580,5580
920,1,2,5575,5575,5575
921,1,3,6080,6080,6080
922,1,4,6076,6076,6076
923,1,5,6079,6079,6079
924,1,6,6082,6082,6082
925,1,7,6077,6077,6077
926,1,8,6080,6080,6080
927,1,9,6083,6083,6083
928,1,1,6078,6078,6078
929,1,2,6483,6483,6483
930,1,3,6479,6479,6479
931,1,4,6482,6482,6482
